"","gap","plot","gap_type","At","Ep","Fd","Mb","Pl","Sx","X","<NA>","B_At","B_Pl","B_Sx","B_Ep","B_Fd","x_site_open","trans_tot","x_trans_tot","lai_4_ring","lai_5_ring","ms","ts","wd","gs","sb","fb","sl","rk","df","near_distance","azimuth1","azimuth_T","objectid","aspect_dem11","aspect_dem21","aspect_dem51","aspect_dem101","slope_dem_1m1","slope_dem2m1","slope_dem_5m1","slope_dem_10m1","zonal_unit","ss1","twi_10m","twi_5m","twi_2m","twi_1mfina","dem1","dem2","dem5","dem10","aspect_dem11T","aspect_dem21T","aspect_dem51T","aspect_dem101T","OBJECTID","Join_Count","TARGET_FID","Gap_area"
"21","111",487,"S",NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,6,NA,9,54.93,19.97,68.2,0.41,0.43,5,0,10,30,25,25,0,0,5,0.69,288.19,1.31216911235493,487,20.557,20.553,22.0346,20.0288,27.5484,26.3984,23.9604,22.5344,"IDFdk3",8,11.5568,9.24089,7.99555,5.75366,796.739,797.097,796.85,797.097,1.93632332629627,1.93634783814433,1.92695746662125,1.93952058400576,111,15,111,1.50430055391
"22","112",29,"S",NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,47.3,21.36,72.95,0.5,0.58,5,5,5,20,35,15,0,0,15,1.19,117.49,0.538406206392412,29,338.734,344.087,334.598,333.834,25.0084,25.2687,20.7967,20.9691,"IDFdk3",1,7.37796,6.15292,3.96016,3.51715,807.051,807.108,806.389,807.108,1.93190662115053,1.96167912541939,1.90332031965225,1.89752020652682,112,6,112,0.78785961582
"23","112",278,"S",NA,1000,2000,NA,NA,1000,NA,NA,NA,NA,3,NA,NA,38.86,15.15,51.75,0.72,0.92,0,0,0,75,10,15,0,0,0,1.61,2.43,1.99910076710125,278,6.61,349.867,345.721,339.967,12.9177,12.2784,13.6262,15.9123,"IDFdk3",1,8.59401,4.87104,2.78607,2.41478,802.113,802.301,802.216,802.301,1.99335269015348,1.98440201270284,1.9691061961843,1.93949547547435,112,6,112,0.78785961582
"24","112",421,"S",NA,NA,4000,NA,NA,1000,NA,NA,NA,NA,3,NA,21,34.4,15.16,51.76,0.93,0.94,5,0,50,15,5,10,0,0,15,0.09,90,1,421,351.225,337.106,332.101,336.931,17.0946,18.54,16.3541,17.3464,"IDFdk3",8,7.76355,7.27557,3.31272,2.95493,799.08,799.389,799.221,799.389,1.98829504003587,1.92122614947945,1.88377379687001,1.92003363748667,112,6,112,0.78785961582
"25","113",14,"S",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,58.93,21.95,74.97,0.31,0.39,0,0,40,30,15,5,0,0,10,3.53,153.42,0.105689520232027,14,343.81,340.858,338.704,339.631,21.1045,23.4004,23.0571,21.9207,"IDFdk3",1,4.70789,3.77798,2.76999,3.1519,831.023,831.405,830.333,831.405,1.96034236418443,1.94470879504941,1.93171658503499,1.93747044792107,113,2,113,0.24219288303
"26","113",347,"S",NA,NA,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,50.13,19.63,67.05,0.54,0.57,10,0,10,20,30,10,20,0,0,3.92,261.87,0.858580412225545,347,329.599,325.85,329.901,331.132,24.8022,23.9011,21.8232,20.9321,"IDFdk3",1,7.28412,8.1938,2.89748,3.68275,831.286,831.517,831.501,831.517,1.86250483712058,1.8275707695641,1.86516017345153,1.87573430624669,113,2,113,0.24219288303
"27","115",36,"N",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,25.46,12.81,43.75,1.42,1.45,60,0,0,20,5,15,0,0,0,1.81,160.02,0.0601880489136802,36,341.322,346.806,352.702,0.630282,33.7346,34.7968,33.6044,32.1744,"IDFdk3",5,6.39534,4.48516,4.20775,2.77443,866.715,866.834,866.243,866.834,1.94733331446794,1.97360281038207,1.9918988773773,1.99993949515275,115,16,115,2.72460703296
"28","115",86,"S",NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,17.26,7.92,27.04,1.84,1.89,0,0,5,50,15,20,0,0,10,4.49,86.9,1.05407881298478,86,301.22,313.392,318.012,333.814,22.3453,20.0366,19.6588,18.9381,"IDFdk3",1,8.58733,10.7296,4.28838,5.18141,833.606,833.735,833.149,833.735,1.51832555625993,1.68698605514503,1.74328495156386,1.89736622311902,115,16,115,2.72460703296
"29","115",101,"S",4000,3000,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.96,19.75,67.46,0.61,0.75,30,0,5,40,5,20,0,0,0,0.76,0,2,101,340.682,340.45,333.109,331.879,25.9644,24.2771,22.8765,23.4805,"IDFdk3",1,7.89227,8.70399,3.2814,7.73918,829.467,829.541,828.914,829.541,1.94369707085142,1.94234983075993,1.89186858688076,1.8819541718997,115,16,115,2.72460703296
"30","115",152,"N",NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,23.49,9.72,33.18,1.68,1.4,65,0,0,20,0,15,0,0,0,3,8.89,1.98798685277804,152,8.04516,9.9613,11.4951,11.9951,39.8823,39.2754,39.4002,38.4428,"IDFdk3",5,4.83816,4.18075,3.06789,2.92766,872.326,872.486,871.113,872.486,1.99015806621111,1.98492481770303,1.979941751209,1.9781653780002,115,16,115,2.72460703296
"31","115",251,"S",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,30.97,13.17,44.98,1.15,1.15,0,0,50,5,5,15,5,0,20,1.73,74.05,1.27479839189018,251,334.824,337.138,344.095,346.63,21.2239,19.7259,20.9586,22.4638,"IDFdk3",5,10.4007,11.1449,3.90278,3.86982,845.772,845.819,845.455,845.819,1.90500532309308,1.9214432797239,1.96171739843529,1.97289708777636,115,16,115,2.72460703296
"32","115",290,"S",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,31.67,15.17,51.81,1.05,1.1,0,0,60,5,10,10,0,0,15,1.73,299.43,1.49135985278706,290,341.134,350.111,347.743,346.63,18.4576,20.9139,22.2652,22.4638,"IDFdk3",5,7.08375,4.83171,3.44378,3.53442,846.681,846.976,846.716,846.976,1.94627740870546,1.98514231601732,1.9772051767767,1.97289708777636,115,16,115,2.72460703296
"33","115",315,"S",NA,3000,32000,NA,NA,NA,NA,NA,NA,NA,NA,3,18,32.56,14.27,48.74,1.12,1.07,20,0,20,30,10,20,0,0,0,0.28,90,1,315,0.152755,0.266546,356.193,353.758,28.6164,28.9459,27.7419,25.3692,"IDFdk3",5,6.42483,7.14596,6.89796,7.29626,847.714,848.164,847.724,848.164,1.99999644601696,1.99998917897762,1.99779336396096,1.99407152921575,115,16,115,2.72460703296
"34","115",419,"S",NA,NA,4000,NA,NA,NA,NA,NA,NA,NA,NA,6,18,26.53,11.98,40.91,1.3,1.32,20,0,35,20,5,20,0,0,0,0.49,185.71,0.00496177976070145,419,356.777,355.318,356.139,355.493,25.3903,26.6327,27.8669,27.3179,"IDFdk3",5,9.7735,9.81799,5.83784,5.59204,849.002,849.372,849.165,849.372,1.99841827554863,1.99666307937721,1.99773034424674,1.99690774070619,115,16,115,2.72460703296
"35","115",461,"N",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,44.49,18.05,61.63,0.71,0.68,10,0,0,70,5,10,0,5,0,2.64,339.98,1.9395731759868,461,328.653,329.945,339.426,339.531,17.3567,20.4172,23.5727,22.4251,"IDFdk3",5,8.85577,8.99338,3.2286,6.11593,840.211,840.244,840.221,840.244,1.85403237870362,1.86554503930667,1.93621910003163,1.93686153256759,115,16,115,2.72460703296
"36","115",564,"N",NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,58.61,23.97,81.85,0.07,0.34,10,0,10,65,0,15,0,0,0,0.05,3.86,1.9977315193327,564,0.610015,357.792,359.497,355.297,21.9281,22.9033,22.5959,21.7229,"IDFdk3",1,4.928,4.70628,4.56493,5.3886,831.066,831.191,831.109,831.191,1.99994332367714,1.99925754672078,1.99996146477311,1.99663309516159,115,16,115,2.72460703296
"37","118",294,"N",NA,3000,1000,NA,NA,NA,NA,NA,3,NA,6,NA,12,20.48,7.68,26.21,1.68,1.6,40,0,20,10,10,5,0,0,15,0.08,210.26,0.136252433097978,294,24.1097,29.8934,36.9956,47.6149,19.2021,17.5186,26.2176,30.621,"IDFdk3",5,7.08472,6.77881,4.49675,3.60651,853.648,853.919,853.584,853.919,1.91276503505539,1.86695416484943,1.79868172376834,1.6741103264766,118,5,118,0.26879192393
"38","118",517,"N",NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,22.96,10.77,36.78,1.54,1.49,60,0,5,15,10,5,0,0,5,0.84,125.54,0.418728825997536,517,349.54,8.3208,39.6214,45.3569,26.2115,17.1814,20.3323,23.177,"IDFdk3",5,7.34668,3.07664,2.83871,2.24883,866.649,866.901,866.111,866.901,1.98338189233773,1.98947331845261,1.77027511088369,1.70268846655534,118,5,118,0.26879192393
"39","119",218,"S",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,62.38,24.33,83.08,0.02,0.25,75,0,0,15,5,5,0,0,0,1.64,231.84,0.382140386909665,218,151.469,115.149,136.983,190.73,0.924847,0.718098,1.0226,1.96366,"IDFdk3",1,6.41514,7.90166,3.42101,2.66278,849.885,849.873,849.899,849.873,0.121441183690787,0.575026279775696,0.268848683556912,0.0174845529588636,119,4,119,0.49337240056
"40","123",135,"S",NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,42.86,18.47,63.07,0.48,0.79,60,0,0,15,10,5,0,0,10,1.15,270,1,135,224.147,212.016,223.773,166.975,7.24709,8.52377,13.497,5.26203,"IDFdk3",1,13.1443,13.7778,4.79371,3.61481,826.422,826.399,826.636,826.399,0.282444804357868,0.152099918282809,0.277913687266407,0.0257281813786568,123,3,123,0.49113778403
"41","123",571,"S",NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,21.93,8.56,29.23,1.59,1.55,0,0,25,10,5,5,35,0,20,1.98,333.43,1.89438856037008,571,201.717,194.913,195.587,180.028,18.7117,16.6134,19.9833,16.0319,"IDFdk3",1,9.0756,4.3546,7.77837,4.28178,821.661,821.375,821.914,821.375,0.0709771754334851,0.0336822871329767,0.0367764420230182,1.19410026200306e-07,123,3,123,0.49113778403
"42","124",556,"N",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,24.73,9.67,33.03,1.58,1.38,35,0,0,25,15,5,0,0,20,1.17,36.99,1.79874053441926,556,16.9414,23.0117,11.4252,17.9703,27.8058,26.7523,20.5625,32.6305,"IDFdk3",5,4.89619,5.69357,3.38055,2.8498,915.213,915.542,914.536,915.542,1.95660328268729,1.92042504558811,1.98018414557183,1.95121657142424,124,2,124,0.1474405825
"43","125",49,"S",NA,NA,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,15.68,8.46,28.88,1.79,1.91,70,5,5,5,10,5,0,0,0,0.6,162.9,0.0442069852016698,49,167.091,38.9995,244.933,296.734,2.2198,2.29132,1.26088,0.727401,"IDFdk3",1,5.94293,2.85801,3.64941,4.46672,831.262,831.268,831.283,831.268,0.0252738858804868,1.77715145328382,0.576322217771083,1.44984905672746,125,2,125,0.31500844183
"44","13",77,"S",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,32.99,13.31,45.44,0.97,0.99,70,0,5,0,10,10,0,0,5,2.66,315,1.70710678118655,77,236.235,250.347,236.535,238.849,12.5822,10.6537,9.23093,9.13983,"IDFdk3",1,5.99565,6.00306,6.02616,2.83923,870.071,870.051,869.926,870.051,0.444212107786502,0.663677147664401,0.448572509496978,0.482704697186189,13,3,13,0.14585728825
"45","13",109,"S",NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,35.16,14.57,49.77,0.9,0.91,30,0,10,50,0,5,0,0,5,0.81,175.66,0.00286745450467518,109,253.292,233.773,259.39,246.983,9.54048,11.0778,10.6616,10.0354,"IDFdk3",1,6.59368,6.27133,5.99907,5.38191,871.649,871.52,871.747,871.52,0.712505745702365,0.40901412688264,0.815877097608121,0.608995769425584,13,3,13,0.14585728825
"46","133",343,"S",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,13.58,6.59,22.51,2.14,2.08,30,0,5,35,15,5,0,0,10,0.18,172.87,0.00773291572015211,343,214.511,217.732,216.567,228.986,13.1335,11.4921,11.8379,11.3876,"IDFdk3",1,9.91223,4.26881,10.5331,3.58863,844.988,844.894,845.242,844.894,0.175982568756549,0.209118131547351,0.196839257110569,0.343756580257337,133,3,133,0.51521203813
"47","133",576,"S",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,33.13,16.14,55.11,0.89,1.02,10,0,30,20,20,10,0,0,10,3.59,269.03,0.983071114960101,576,288.38,272.458,267.471,258.783,13.6222,10.0144,12.1432,12.2641,"IDFdk3",1,8.16801,4.7618,6.34752,1.6482,851.993,852.062,852.147,852.062,1.31531779751146,1.04288703511577,0.955874954498801,0.805474602080275,133,3,133,0.51521203813
"48","134",87,"S",NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,32.22,12.91,44.09,1.06,1.06,55,0,5,5,0,5,0,25,5,0.49,250.02,0.658307892108517,87,122.947,121.668,122.08,140.703,35.3072,34.536,32.5425,15.2133,"IDFdk3",1,6.29403,3.82705,3.56993,2.16597,855.196,854.976,854.793,854.976,0.456136988715813,0.475003613423253,0.468897154184443,0.226126627589333,134,7,134,0.77971656599
"49","140",405,"S",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.76,10.64,36.35,1.37,1.39,0,0,10,60,25,5,0,0,0,1.33,154.83,0.0949501340601625,405,319.279,296.793,316.392,303.536,27.2182,18.5287,30.5293,19.5186,"IDFdk3",1,7.74831,7.17462,8.05841,3.2614,859.471,859.742,858.943,859.742,1.75789527873246,1.45076848739503,1.72407556532573,1.5524608222441,140,1,140,0.21578136829
"50","141",35,"S",NA,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,21.05,9.49,32.42,1.56,1.73,10,0,5,55,20,10,0,0,0,0.39,293.81,1.4037049807925,35,251.646,261.865,251.328,258.51,11.928,11.7072,11.5877,11.7196,"IDFdk3",1,5.81054,5.17779,4.30298,4.82093,861.164,861.211,861.161,861.211,0.685112871187508,0.85849402335163,0.679849941945856,0.800803097743654,141,1,141,0.20734087592
"51","150",145,"S",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,16.91,5.7,19.46,1.82,1.76,30,5,10,5,5,10,15,0,20,2.92,117.11,0.54429972826078,145,210.871,212.867,234.562,245.74,9.16687,10.5748,12.0152,12.7339,"IDFdk3",1,6.82475,6.24556,1.53869,1.99559,849.252,849.233,849.585,849.233,0.141675277613276,0.16006742872112,0.420178341873766,0.589122021146385,150,2,150,0.12908325564
"52","154",490,"S",NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,26.04,11.45,39.11,1.39,1.73,65,0,15,15,0,5,0,0,0,0.23,270,1,490,346.472,343.125,348.076,349.517,39.1697,30.9189,29.6695,28.5245,"IDFdk3",8,7.78271,8.60733,5.65229,9.80714,837.567,837.714,837.669,837.714,1.97225572136526,1.95694033573221,1.97842252465269,1.98330893465189,154,1,154,0.1225947094
"53","155",63,"N",NA,NA,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,18.37,9.74,33.27,1.83,1.81,15,5,5,45,10,0,0,0,20,1.2,206.57,0.105611439629916,63,349.001,352.099,359.111,15.9351,15.5669,15.6569,18.2252,10.9255,"IDFdk3",8,3.25075,2.57644,5.38422,5.99585,844.518,844.58,844.299,844.58,1.98163051354336,1.99050706422758,1.999879629643,1.96157329878052,155,14,155,2.17501478872
"54","155",104,"S",NA,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,36.91,18.02,61.53,1.02,0.89,35,0,15,10,5,20,0,0,15,6.1,208.75,0.123273244292492,104,20.4922,18.7174,20.6124,5.81094,25.4044,25.1039,24.1674,28.2189,"IDFdk3",5,5.67464,4.49302,4.18643,3.76212,864.148,864.486,864.113,864.486,1.93671985628918,1.94711286797863,1.93598336795739,1.994861395103,155,14,155,2.17501478872
"55","155",108,"N",NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,27.17,12.98,44.34,1.21,1.24,0,0,0,30,35,30,0,0,5,0.92,172.77,0.00795105900709581,108,348.456,349.178,355.266,354.821,19.0623,18.637,17.5853,16.9519,"IDFdk3",8,5.0954,4.18061,5.79699,2.83611,853.74,853.984,853.535,853.984,1.97977131210317,1.98221522905906,1.99658858805425,1.99591755029914,155,14,155,2.17501478872
"56","155",143,"S",NA,NA,6000,NA,NA,NA,NA,NA,NA,NA,3,NA,15,34.29,13.41,45.78,0.93,1.04,0,0,5,20,30,15,0,0,30,1.51,326.17,1.83069307967494,143,312.876,316.833,329.588,330.525,12.7513,12.5466,11.9812,12.2821,"IDFdk3",8,3.39019,2.77764,4.7213,1.51046,854.658,854.816,854.402,854.816,1.68041396239647,1.72936277731898,1.86240766682727,1.87057047339232,155,14,155,2.17501478872
"57","155",181,"N",NA,NA,17000,NA,NA,NA,NA,NA,NA,NA,NA,3,12,17.24,7.29,24.88,2.08,1.74,20,0,0,20,0,25,0,0,35,0.12,218.66,0.219133281164199,181,338.872,341.902,337.609,341.164,51.6699,39.8503,37.3496,35.4899,"IDFdk3",8,11.8118,6.47247,5.05049,4.37837,866.893,867.207,866.171,867.207,1.93277749579973,1.95052657570191,1.92460588060068,1.94644658775982,155,14,155,2.17501478872
